DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-07-14 12:34:26,34.389999,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Startup,0,0,0,0,0,0,,,,,0.0,23.8,42.1,1006.6,14.8,4.378,1934.000,246448,339964,244304,0,4.20,100.00
2026-07-14 12:40:33,401.798004,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Right,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:43:11,559.739990,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Center,0,0,1,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:43:58,606.754028,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,23.7,43.7,1006.6,11.1,0.518,250.000,247412,339964,244304,130,4.20,100.00
2026-07-15 07:31:52,67715.250000,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,24.9,33.4,1006.1,3.9,0.544,256.000,247912,339964,179756,132,3.77,37.94
2026-07-15 07:42:12,68336.015625,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,25.1,37.9,1005.8,5.2,0.572,269.000,247912,339964,179756,269,3.77,37.22
2026-07-15 07:52:33,68957.789062,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,25.0,39.1,1005.6,6.2,0.569,268.000,247776,339964,179756,406,3.78,36.50
2026-07-15 08:02:51,69576.625000,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,25.0,39.8,1005.4,7.0,0.562,266.000,247784,339964,179756,543,3.78,36.14
2026-07-15 08:13:15,70201.507812,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,24.9,40.1,1005.3,7.5,0.572,266.000,247784,339964,179756,680,3.77,35.78
2026-07-15 08:23:41,70828.257812,A0DB8AF16E20,0001,male,C57BL/6,1.1.1,FR1,0,Status,0,0,1,1,0,0,,,,,Disabled,24.8,40.4,1005.2,7.9,0.446,184.000,247784,339964,179756,817,3.77,35.42
