DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-07-14 12:23:48,37.715000,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Startup,0,0,0,0,0,0,,,,,0.0,23.7,43.8,1000.0,16.3,7.736,3464.000,246164,339964,244020,0,4.17,97.50
2026-07-14 12:33:16,606.403015,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Status,0,0,0,0,0,0,,,,,Disabled,23.8,42.5,1000.0,16.9,2.304,957.000,247120,339964,244020,129,4.08,94.97
2026-07-14 12:43:18,1208.832031,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Status,0,0,0,0,0,0,,,,,Disabled,23.8,43.3,1000.0,16.9,0.464,194.000,249108,339964,187556,259,4.08,92.44
2026-07-14 12:51:39,1389.233032,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Right,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:52:22,1431.928955,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:52:34,1443.359009,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,1,1,1,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:52:38,1448.297974,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,1,1,1,0,0,0,4.405,109.000,0,4,,,,,,,,,,,,,
2026-07-14 12:56:41,1690.646973,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Right,1,1,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:56:47,1696.819946,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,1,2,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:56:51,1700.745972,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,2,2,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:56:51,1701.404053,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,2,2,2,0,0,0,0.104,89.000,0,1,,,,,,,,,,,,,
2026-07-14 12:57:29,1738.859985,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,2,3,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:57:34,1743.866943,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,3,3,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:57:54,1764.409058,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,3,3,2,0,0,0,TimedOut,21.000,0,2,,,,,,,,,,,,,
2026-07-14 12:58:41,1811.448975,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Status,3,3,2,0,0,0,,,,,Disabled,23.9,43.2,999.9,16.8,0.000,0.000,247912,339964,181692,382,4.07,90.54
2026-07-14 12:58:51,1821.082031,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,3,4,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:58:56,1826.088989,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,4,4,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:59:05,1834.881958,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,4,4,2,0,0,0,8.243,21.000,0,2,,,,,,,,,,,,,
2026-07-14 12:59:38,1867.972046,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,4,5,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:59:45,1875.197021,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,5,5,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:00:03,1893.139038,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,5,5,2,0,0,0,17.407,61.000,0,3,,,,,,,,,,,,,
2026-07-14 13:00:46,1936.300049,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,5,6,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:00:53,1943.525024,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,6,6,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:01:05,1955.536987,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletTaken,6,6,2,0,0,0,11.477,21.000,0,3,,,,,,,,,,,,,
2026-07-14 13:01:42,1992.016968,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,Left,6,7,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:01:49,1999.241943,B0DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1,0,PelletDrop,7,7,2,0,0,0,,,,,,,,,,,,,,,,,
